3,Scifres ,0.0,36.0,0.0,1612101606.2885106
4,Racquetball Court 2 (Squat Racks),0.0,8.0,0.0,1612101606.2885106
5,Lower Gym (Badminton & Pickleball),0.0,18.0,0.0,1612101606.2885106
6,MP3 (Strength Equipment),0.0,8.0,0.0,1612101606.2885106
7,MP4 (Table Tennis),0.0,8.0,0.0,1612101606.2885106
8,Fitness Loft,0.0,29.0,0.0,1612101606.2885106
9,Feature Gym Lounge (Cardio),0.0,13.0,0.0,1612101606.2885106
10,Fitness Pavilion,0.0,42.0,0.0,1612101606.2885106
11,Mindfulness Room ,0.0,2.0,0.0,1612101606.2885106
12,Upper Fitness ,0.0,25.0,0.0,1612101606.2885106
13,MAC Court (Cardio/Strength Equipment),0.0,50.0,0.0,1612101606.2885106
14,Atrium Track (3rd Floor),0.0,10.0,0.0,1612101606.2885106
15,East Mezzanine (3rd Floor),0.0,12.0,0.0,1612101606.2885106
16,West Mezzanine (3rd Floor),0.0,12.0,0.0,1612101606.2885106
17,Upper Gym,0.0,18.0,0.0,1612101606.2885106
18,Upper Track (4th Floor),0.0,10.0,0.0,1612101606.2885106
19,Racquetball/Squash Courts ,0.0,3.0,0.0,1612101606.2885106
20,Faculty/Staff Workout Area ,0.0,6.0,0.0,1612101606.2885106
21,B&G Gym 1-3,,,,1612101606.2885106
22,B&G Gym 4-6,,,,1612101606.2885106
23,Bouldering Wall,,,,1612101606.2885106
24,Feature Gym,,,,1612101606.2885106
25,Climbing Wall ,,,,1612101606.2885106
26,TREC,,,,1612101606.2885106
0,Colby Fitness (Free Weights/Cardio),0.0,101.0,0.0,1612105206.973844
1,East Fitness (Strength Equipment),0.0,43.0,0.0,1612105206.973844
2,Olympic Lifting Room ,0.0,8.0,0.0,1612105206.973844
3,Scifres ,0.0,36.0,0.0,1612105206.973844
4,Racquetball Court 2 (Squat Racks),0.0,8.0,0.0,1612105206.973844
5,Lower Gym (Badminton & Pickleball),0.0,18.0,0.0,1612105206.973844
6,MP3 (Strength Equipment),0.0,8.0,0.0,1612105206.973844
7,MP4 (Table Tennis),0.0,8.0,0.0,1612105206.973844
