,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
25,7290,300,Colby (Strength),0,0,2021-11-16T18:25:59.867,117,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-16T18:26:00.273,23,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
27,5994,300,TREC,0,0,2021-11-16T18:26:00.68,12,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
0,6129,100,Upper Track (4th Floor),0,0,2021-11-16T19:28:56.227,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-16T19:28:56.683,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
2,5995,100,Upper Fitness ,0,0,2021-11-16T19:28:57.273,22,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
3,5996,100,Upper Gym,0,0,2021-11-16T19:28:57.68,6,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
4,6130,100,MAC Court (Cardio),0,0,2021-11-16T19:28:58.117,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
5,7289,50,MAC (badminton),0,0,2021-11-16T19:28:58.693,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-16T19:28:59.163,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-16T19:28:59.647,6,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-16T19:29:00.053,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
9,5988,50,Mindfulness Room ,0,0,2021-11-16T19:29:00.773,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-16T19:29:01.193,16,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-16T19:29:02.053,13,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-16T19:29:02.477,6,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
13,5981,100,Fitness Loft,0,0,2021-11-16T19:29:02.883,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
14,5979,100,Feature Gym,0,0,2021-11-16T19:29:03.333,12,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637111105.9167914
16,5961,300,B&G Gym 4-6,0,0,2021-11-16T19:29:03.757,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
17,5993,200,Scifres ,0,0,2021-11-16T19:29:04.32,28,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
18,5972,20,Climbing Wall ,0,0,2021-11-16T19:29:04.727,9,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
19,5969,20,Bouldering Wall,0,0,2021-11-16T19:29:05.24,17,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-16T19:29:05.65,53,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
21,5990,50,Olympic Lifting Room ,0,0,2021-11-16T19:29:06.07,5,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
22,6132,300,MP4 (Table Tennis),0,0,2021-11-16T19:29:06.93,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-16T19:29:07.35,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
24,7291,300,Colby (Cardio),0,0,2021-11-16T19:29:07.757,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
25,7290,300,Colby (Strength),0,0,2021-11-16T19:29:08.49,112,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-16T19:29:08.963,28,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
27,5994,300,TREC,0,0,2021-11-16T19:29:09.65,17,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637111105.9167914
0,6129,100,Upper Track (4th Floor),0,0,2021-11-16T20:08:12.63,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-16T20:08:13.033,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
2,5995,100,Upper Fitness ,0,0,2021-11-16T20:08:13.427,16,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
3,5996,100,Upper Gym,0,0,2021-11-16T20:08:13.957,5,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
4,6130,100,MAC Court (Cardio),0,0,2021-11-16T20:08:14.317,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
5,7289,50,MAC (badminton),0,0,2021-11-16T20:08:14.693,5,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-16T20:08:15.067,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637114702.2032297
